"","MeanPP","MeanMM","MeanMP"
"CD48",43.6446713549204,746.973270953032,260.443622768799
"CXCR4",203.062658658384,6816.09726290081,1474.16353556014
"ACVR2A",0,41.6182948700291,6.36175800286293
"RAB38",46.5634081511984,54.1840475640759,1.14029504063621
"PMEPA1",0,34.5941117494311,5.69999086773634
"ABCC4",2.51451957559406,144.544275482894,207.233536862515
"GRK4",1.23578075783949,42.8331092202619,40.1507155259346
"KIR2DL1",7207.37807662931,38.7782302154856,4277.78169526996
"TNFSF14",44.8688057832469,1340.67417664343,800.516961680006
"CCR7",0,166.20032174137,36.6402292046177
"BCL11B",0,15.9701914602677,0.380227414016323
"ADORA2A",0,7.12081459444173,0.981987786376592
"KLHDC7B",0.227345395128115,24.9138381158202,0.190113707008162
"AC005261.1",0,50.6618101554558,0
"SPATA6",0.107377892008765,20.9789113100772,0
"SYT11",0,216.950701043128,131.065270149476
"PRAM1",0,43.8674623077277,0
"PLAAT2",0,18.6559576907791,52.5116736581845
"IL2RA",0.454690790256231,147.377347259382,129.836156456507
"EMP1",0,12.8644058814734,51.1578349404397
"SLC43A3",0.227345395128115,147.845507331333,48.1830964779668
"ACVR1B",0.295825832422831,85.9732097076736,57.6899814534371
"MAP7",0,51.4233159114547,12.4838556941176
"KIAA0513",2.15181635980726,89.6353411723264,3.36976206038824
"PCNX2",0,46.2929890030668,60.2551227758072
"ITM2C",120.283243883172,6674.01004971602,1931.23318703329
"TSGA10",2.4535502479963,67.1269397907394,70.8036170141733
"FXYD2",0,2.86060386986281,15.7654018694381
"ENTPD1",2248.96740152864,8.40005841960629,31.4715987405197
"SLC49A4",0,68.1711243743154,39.918288886477
"KLRG1",0,145.28597666793,0
"RAB15",0,26.8059552322009,3.66780212785798
"ADAMTS17",0.295825832422831,152.315801423483,89.0834525539611
"HAPLN3",0,103.266600207814,70.372425967707
"AFF3",0.107377892008765,75.7521678666694,16.1341076987961
"SETD7",0,33.6877151015398,17.7899442768032
"AIG1",0,136.861859888109,105.153754625129
"USP6NL",0,36.5390679146112,1.14068224204897
"ST8SIA6",1.18330332969132,35.6079603065282,14.4980317455384
"LRMDA",0,40.9412650198809,30.2774776496961
"MPP7",0,122.426426196438,2.93251829656816
"DIXDC1",116.268165684093,0,130.639931134962
"JMY",0.751645244061358,240.928320066361,118.473712129908
"SPEF2",0,37.531426175736,0
"ACOXL",445.406227591483,26.5665399053531,167.705394091374
"CMTM7",11.1008417633217,325.693303801279,178.773235976552
"SH3RF1",106.394347448167,11.4561744214338,0.99724449942323
"PIP4P2",0,143.568585915466,54.5040972511492
"RAB39B",0,82.1388786532472,17.3939127179991
"ADGRG5",19.2849418111361,348.833521195599,17.5472714095303
"GAB3",5.74980699833869,112.427986957156,9.26548582953902
"ITGB2",1046.54312343849,14057.1676324686,7669.65332593471
"BEND5",0,17.562707727203,0
"SGCB",0,35.047864725056,41.1244353408335
"TRAT1",0,206.12616585227,49.2501447535661
"ICOS",0,114.821625108326,0.410740840109599
"HHIP",187.002135875355,0.870461565727073,38.2123366962653
"TAGAP",156.631085775199,2141.35084668649,871.258364979967
"FZD6",0,119.762481267053,135.919322813969
"ANKS6",0,13.0415435592469,1.37837773868206
"MID1IP1",0,195.035538329017,72.8084768870989
"AQP3",0,51.0937161568187,30.454089434333
"ATF7IP2",4.79050230278046,150.91626764874,79.1056534354613
"NAV2",0,39.9542346774014,0.821481680219198
"C15orf48",139.422999078506,1.13284510929458,84.0777370829233
"TEF",116.317674827375,14.2169357014725,0.205370420054799
"KIR3DL1",6439.0842868976,579.332881567251,4013.26524197186
"SLC43A2",0,22.221069045296,52.8819452170135
"HSD11B1L",0,21.611411375968,33.2010707970026
"NAALADL1",34.543566502751,466.39102613935,234.803512408976
"IL7R",0,45.5243306618954,0
"LDB2",0,150.207461020432,35.8941727878108
"NANP",0,52.7195678513626,5.56178511810413
"ADPRM",0.644267352052593,63.6476635089402,61.9694782329792
"PDGFD",0,702.015779835747,334.395224252043
"HS6ST2",0,169.93149336326,91.4585282398137
"CXCR6",0,423.292944235928,0
"NRROS",0.725337400457893,21.5162421584988,14.5206489240739
"SLC16A13",0,17.8257613127005,81.8672914685307
"RIN1",0,38.8663640698431,80.7128680730965
"RFESD",0,40.4070179949629,44.2393624056414
"ZNF683",244.678588734375,12525.6736058008,6816.45409009282
"IRX3",63.5520704135646,0,5.09552351267858
"CPNE7",3.99364873770821,371.049229691296,200.842280774761
